Keyword,AMZ Search Volume,Google Search Volume,Google CPC,Google Competition,Amazon_Search_URL,Product_count,Product_url
calendar 2022,83720,0.0,0.00,Low,https://www.amazon.com/s?k=calendar+2022&page=1,6000,https://www.amazon.com/s?k=calendar+2022&page=1
vrbo guest book,87824,20.0,5.03,High,https://www.amazon.com/s?k=vrbo+guest+book&page=1,274,https://www.amazon.com/s?k=vrbo+guest+book&page=1
budget planners,88018,0.0,0.00,Low,https://www.amazon.com/s?k=budget+planners&page=1,5000,https://www.amazon.com/s?k=budget+planners&page=1
habit trackers,86073,0.0,0.00,Low,https://www.amazon.com/s?k=habit+trackers&page=1,2000,https://www.amazon.com/s?k=habit+trackers&page=1
guests books,81382,22200.0,2.18,High,https://www.amazon.com/s?k=guests+books&page=1,10000,https://www.amazon.com/s?k=guests+books&page=1
calendar 2023,83598,0.0,0.00,Low,https://www.amazon.com/s?k=calendar+2023&page=1,10000,https://www.amazon.com/s?k=calendar+2023&page=1
2022 calendar,83762,0.0,0.00,Low,https://www.amazon.com/s?k=2022+calendar&page=1,6000,https://www.amazon.com/s?k=2022+calendar&page=1
5x8 planners,80214,10.0,1.22,High,https://www.amazon.com/s?k=5x8+planners&page=1,5000,https://www.amazon.com/s?k=5x8+planners&page=1
calendars for,83631,0.0,0.00,Low,https://www.amazon.com/s?k=calendars+for&page=1,60000,https://www.amazon.com/s?k=calendars+for&page=1
guest books,77414,0.0,0.00,Low,https://www.amazon.com/s?k=guest+books&page=1,3000,https://www.amazon.com/s?k=guest+books&page=1
sketch books,80074,0.0,0.00,Low,https://www.amazon.com/s?k=sketch+books&page=1,4000,https://www.amazon.com/s?k=sketch+books&page=1
activity books for kids ages 4-8 pack,75290,0.0,0.00,Low,https://www.amazon.com/s?k=activity+books+for+kids+ages+4-8+pack&page=1,2000,https://www.amazon.com/s?k=activity+books+for+kids+ages+4-8+pack&page=1
a journal for,83770,30.0,0.00,High,https://www.amazon.com/s?k=a+journal+for&page=1,100000,https://www.amazon.com/s?k=a+journal+for&page=1
ahead planner,85138,0.0,0.00,Low,https://www.amazon.com/s?k=ahead+planner&page=1,30000,https://www.amazon.com/s?k=ahead+planner&page=1
school back,77602,0.0,0.00,Low,https://www.amazon.com/s?k=school+back&page=1,30000,https://www.amazon.com/s?k=school+back&page=1
5x8 planner,76300,170.0,1.71,High,https://www.amazon.com/s?k=5x8+planner&page=1,3000,https://www.amazon.com/s?k=5x8+planner&page=1
sketch book,76239,90500.0,0.47,High,https://www.amazon.com/s?k=sketch+book&page=1,6000,https://www.amazon.com/s?k=sketch+book&page=1
mega blocks for toddlers 1-3,39246,0.0,0.00,Low,https://www.amazon.com/s?k=mega+blocks+for+toddlers+1-3&page=1,940,https://www.amazon.com/s?k=mega+blocks+for+toddlers+1-3&page=1
3 subject notebook with pockets,39221,140.0,0.80,High,https://www.amazon.com/s?k=3+subject+notebook+with+pockets&page=1,1000,https://www.amazon.com/s?k=3+subject+notebook+with+pockets&page=1
cryptograms puzzles for adults,39246,0.0,0,Low,https://www.amazon.com/s?k=cryptograms+puzzles+for+adults&page=1,857,https://www.amazon.com/s?k=cryptograms+puzzles+for+adults&page=1
ffl log book,80196,110.0,2.90,High,https://www.amazon.com/s?k=ffl+log+book&page=1,42,https://www.amazon.com/s?k=ffl+log+book&page=1
guests book,76296,0.0,0.00,Low,https://www.amazon.com/s?k=guests+book&page=1,4000,https://www.amazon.com/s?k=guests+book&page=1
a is for apple trace and flip,39211,0.0,0.00,Low,https://www.amazon.com/s?k=a+is+for+apple+trace+and+flip&page=1,94,https://www.amazon.com/s?k=a+is+for+apple+trace+and+flip&page=1
bedtime books for toddlers 1-3,39246,0.0,0.00,Low,https://www.amazon.com/s?k=bedtime+books+for+toddlers+1-3&page=1,10000,https://www.amazon.com/s?k=bedtime+books+for+toddlers+1-3&page=1
coloring books coloring books,39204,210.0,0.72,High,https://www.amazon.com/s?k=coloring+books+coloring+books&page=1,70000,https://www.amazon.com/s?k=coloring+books+coloring+books&page=1
cursive hand writing workbook,39208,0.0,0,Low,https://www.amazon.com/s?k=cursive+hand+writing+workbook&page=1,1000,https://www.amazon.com/s?k=cursive+hand+writing+workbook&page=1
guest book,71025,0.0,0.00,Low,https://www.amazon.com/s?k=guest+book&page=1,3000,https://www.amazon.com/s?k=guest+book&page=1
gestational diabetes log book,39184,70.0,0.27,High,https://www.amazon.com/s?k=gestational+diabetes+log+book&page=1,481,https://www.amazon.com/s?k=gestational+diabetes+log+book&page=1
lincoln logs for toddlers 1-3,39171,0.0,0.00,Low,https://www.amazon.com/s?k=lincoln+logs+for+toddlers+1-3&page=1,331,https://www.amazon.com/s?k=lincoln+logs+for+toddlers+1-3&page=1
journaling,71025,0.0,0.00,Low,https://www.amazon.com/s?k=journaling&page=1,7000,https://www.amazon.com/s?k=journaling&page=1
ages 4-8,58584,0.0,0.00,Low,https://www.amazon.com/s?k=ages+4-8&page=1,100000,https://www.amazon.com/s?k=ages+4-8&page=1
calendars,66214,0.0,0.00,Low,https://www.amazon.com/s?k=calendars&page=1,40000,https://www.amazon.com/s?k=calendars&page=1
gratitude for women journal,38961,0.0,0.00,Low,https://www.amazon.com/s?k=gratitude+for+women+journal&page=1,9000,https://www.amazon.com/s?k=gratitude+for+women+journal&page=1
journalings,76257,40.0,3.01,High,https://www.amazon.com/s?k=journalings&page=1,50000,https://www.amazon.com/s?k=journalings&page=1
calendar,57647,6120000.0,0.60,High,https://www.amazon.com/s?k=calendar&page=1,20000,https://www.amazon.com/s?k=calendar&page=1
3 subject notebook with pocket dividers,39176,20.0,0.89,High,https://www.amazon.com/s?k=3+subject+notebook+with+pocket+dividers&page=1,579,https://www.amazon.com/s?k=3+subject+notebook+with+pocket+dividers&page=1
gratitude journals for woman,39143,0.0,0.00,Low,https://www.amazon.com/s?k=gratitude+journals+for+woman&page=1,9000,https://www.amazon.com/s?k=gratitude+journals+for+woman&page=1
a journal,66242,3600.0,0.51,High,https://www.amazon.com/s?k=a+journal&page=1,50000,https://www.amazon.com/s?k=a+journal&page=1
coloring books coloring book,39156,0.0,0.00,Low,https://www.amazon.com/s?k=coloring+books+coloring+book&page=1,50000,https://www.amazon.com/s?k=coloring+books+coloring+book&page=1
doodle for toddlers 1-3,38620,0.0,0.00,Low,https://www.amazon.com/s?k=doodle+for+toddlers+1-3&page=1,1000,https://www.amazon.com/s?k=doodle+for+toddlers+1-3&page=1
gestational diabetes book,38863,210.0,0.59,High,https://www.amazon.com/s?k=gestational+diabetes+book&page=1,902,https://www.amazon.com/s?k=gestational+diabetes+book&page=1
cryptogram puzzle books for adults,39161,0.0,0,Low,https://www.amazon.com/s?k=cryptogram+puzzle+books+for+adults&page=1,865,https://www.amazon.com/s?k=cryptogram+puzzle+books+for+adults&page=1
cryptograms puzzle books,38615,0.0,0.00,Low,https://www.amazon.com/s?k=cryptograms+puzzle+books&page=1,927,https://www.amazon.com/s?k=cryptograms+puzzle+books&page=1
gratitude journal woman,38592,0.0,0.00,Low,https://www.amazon.com/s?k=gratitude+journal+woman&page=1,9000,https://www.amazon.com/s?k=gratitude+journal+woman&page=1
cursive hand writing books,38863,0.0,0,Low,https://www.amazon.com/s?k=cursive+hand+writing+books&page=1,6000,https://www.amazon.com/s?k=cursive+hand+writing+books&page=1
cryptogram puzzle book for adults,39198,0.0,0,Low,https://www.amazon.com/s?k=cryptogram+puzzle+book+for+adults&page=1,851,https://www.amazon.com/s?k=cryptogram+puzzle+book+for+adults&page=1
arts and crafts for toddlers 1-3,39137,0.0,0.00,Low,https://www.amazon.com/s?k=arts+and+crafts+for+toddlers+1-3&page=1,4000,https://www.amazon.com/s?k=arts+and+crafts+for+toddlers+1-3&page=1
5 composition notebooks,38634,90.0,1.30,High,https://www.amazon.com/s?k=5+composition+notebooks&page=1,3000,https://www.amazon.com/s?k=5+composition+notebooks&page=1
cursive writing for kids,38596,0.0,0,Low,https://www.amazon.com/s?k=cursive+writing+for+kids&page=1,2000,https://www.amazon.com/s?k=cursive+writing+for+kids&page=1
cryptograms puzzle books for adults,39184,10.0,0,High,https://www.amazon.com/s?k=cryptograms+puzzle+books+for+adults&page=1,869,https://www.amazon.com/s?k=cryptograms+puzzle+books+for+adults&page=1
gratitude journal for n,38615,0.0,0.00,Low,https://www.amazon.com/s?k=gratitude+journal+for+n&page=1,340,https://www.amazon.com/s?k=gratitude+journal+for+n&page=1
gratitude journal women,38592,0.0,0.00,Low,https://www.amazon.com/s?k=gratitude+journal+women&page=1,2000,https://www.amazon.com/s?k=gratitude+journal+women&page=1
cryptograms puzzle books for adult,38574,0.0,0,Low,https://www.amazon.com/s?k=cryptograms+puzzle+books+for+adult&page=1,854,https://www.amazon.com/s?k=cryptograms+puzzle+books+for+adult&page=1
cryptograms puzzle book for adult,38588,0.0,0,Low,https://www.amazon.com/s?k=cryptograms+puzzle+book+for+adult&page=1,851,https://www.amazon.com/s?k=cryptograms+puzzle+book+for+adult&page=1
cursive writing books for kids,38576,0.0,0,Low,https://www.amazon.com/s?k=cursive+writing+books+for+kids&page=1,1000,https://www.amazon.com/s?k=cursive+writing+books+for+kids&page=1
ae composition notebooks,38596,0.0,0.00,Low,https://www.amazon.com/s?k=ae+composition+notebooks&page=1,130,https://www.amazon.com/s?k=ae+composition+notebooks&page=1
swahili story books for kids,38576,0.0,0.00,Low,https://www.amazon.com/s?k=swahili+story+books+for+kids&page=1,110,https://www.amazon.com/s?k=swahili+story+books+for+kids&page=1
500+ cryptograms puzzle book for adults,39145,0.0,0,Low,https://www.amazon.com/s?k=500++cryptograms+puzzle+book+for+adults&page=1,695,https://www.amazon.com/s?k=500++cryptograms+puzzle+book+for+adults&page=1
busy board for toddlers 1-3,38876,0.0,0.00,Low,https://www.amazon.com/s?k=busy+board+for+toddlers+1-3&page=1,3000,https://www.amazon.com/s?k=busy+board+for+toddlers+1-3&page=1
500+ cryptograms puzzle book,38504,0.0,0,Low,https://www.amazon.com/s?k=500++cryptograms+puzzle+book&page=1,742,https://www.amazon.com/s?k=500++cryptograms+puzzle+book&page=1
gratitude journal gratitude journal,38536,0.0,0.00,Low,https://www.amazon.com/s?k=gratitude+journal+gratitude+journal&page=1,10000,https://www.amazon.com/s?k=gratitude+journal+gratitude+journal&page=1
cursive hand writing book,38909,1900.0,0,High,https://www.amazon.com/s?k=cursive+hand+writing+book&page=1,6000,https://www.amazon.com/s?k=cursive+hand+writing+book&page=1
5-subject notebook with pockets,38549,0.0,0.00,Low,https://www.amazon.com/s?k=5-subject+notebook+with+pockets&page=1,1000,https://www.amazon.com/s?k=5-subject+notebook+with+pockets&page=1
weekly planner planner,38392,110000.0,1.36,High,https://www.amazon.com/s?k=weekly+planner+planner&page=1,80000,https://www.amazon.com/s?k=weekly+planner+planner&page=1
cryptogram puzzle book for adult,38473,0.0,0,Low,https://www.amazon.com/s?k=cryptogram+puzzle+book+for+adult&page=1,854,https://www.amazon.com/s?k=cryptogram+puzzle+book+for+adult&page=1
coloring book coloring book,38280,0.0,0.00,Low,https://www.amazon.com/s?k=coloring+book+coloring+book&page=1,70000,https://www.amazon.com/s?k=coloring+book+coloring+book&page=1
gratitude journal 2023,38344,140.0,0.44,High,https://www.amazon.com/s?k=gratitude+journal+2023&page=1,1000,https://www.amazon.com/s?k=gratitude+journal+2023&page=1
cryptogram puzzles book for adults,38504,0.0,0,Low,https://www.amazon.com/s?k=cryptogram+puzzles+book+for+adults&page=1,854,https://www.amazon.com/s?k=cryptogram+puzzles+book+for+adults&page=1
cryptograms puzzle book for adults,38469,0.0,0,Low,https://www.amazon.com/s?k=cryptograms+puzzle+book+for+adults&page=1,847,https://www.amazon.com/s?k=cryptograms+puzzle+book+for+adults&page=1
cursive hand writing for teens,38523,0.0,0,Low,https://www.amazon.com/s?k=cursive+hand+writing+for+teens&page=1,1000,https://www.amazon.com/s?k=cursive+hand+writing+for+teens&page=1
gratitude journal for women,38209,110.0,1.53,High,https://www.amazon.com/s?k=gratitude+journal+for+women&page=1,9000,https://www.amazon.com/s?k=gratitude+journal+for+women&page=1
cryptogram puzzle book,38399,590.0,0.97,High,https://www.amazon.com/s?k=cryptogram+puzzle+book&page=1,926,https://www.amazon.com/s?k=cryptogram+puzzle+book&page=1
do-a-dot art activity book,38308,0.0,0.00,Low,https://www.amazon.com/s?k=do-a-dot+art+activity+book&page=1,5000,https://www.amazon.com/s?k=do-a-dot+art+activity+book&page=1
cursive writing workbook,38587,260.0,0,High,https://www.amazon.com/s?k=cursive+writing+workbook&page=1,2000,https://www.amazon.com/s?k=cursive+writing+workbook&page=1
cursive hand writing book for adults,38469,0.0,0,Low,https://www.amazon.com/s?k=cursive+hand+writing+book+for+adults&page=1,2000,https://www.amazon.com/s?k=cursive+hand+writing+book+for+adults&page=1
